word,position,target_text,translation
cero,1,¿Cómo saqué un cero en el examen?,How did I get a zero on the test?
cero,2,Hace cinco grados sobre cero. ¡Qué frío!,It’s five degrees above zero! It’s so cold.
cero,3,¡La regaste! Ahora tenemos que empezar desde cero.,You messed up! Now we have to start from scratch.
uno,1,"Tengo tres perros, pero solo uno es mío.","I have three dogs, but only one is mine."
uno,2,¿Cuántos boletos compraste? Solo compré uno.,How many tickets did you buy? I only bought one.
uno,3,"De todos los libros que he leído, este es uno de mis favoritos.","Of all the books I've read, this one is one of my favorites."
dos,1,Tengo dos plumas. ¿Cuál quieres?,I have two pens. Which one do you want?
dos,2,Han pasado dos meses desde el terremoto.,Two months have passed since the earthquake.
dos,3,Tenemos dos mesas disponibles.,We have two tables available.
tres,1,Los tres ratones ciegos son blancos.,The three blind mice are white.
tres,2,Agrega tres tazas de azúcar al tazón.,Add three cups of sugar to the bowl.
tres,3,No sabía que tres cerdos construyeron esas casas.,I didn’t know three pigs built those houses.
cuatro,1,Pude visitar cuatro estados este año.,I was able to visit four states this year.
cuatro,2,El equipo de fútbol ganó por cuatro goles anoche.,The soccer team won by four goals last night.
cuatro,3,No pude dormir hasta las cuatro de la mañana.,I couldn’t sleep until four in the morning.
cinco,1,Me pasé de la fecha límite por cinco minutos.,I missed the deadline by five minutes.
cinco,2,¿Pagué cinco dólares por esto? Ni siquiera sabe rico.,I paid five dollars for this? It doesn’t even taste good.
cinco,3,Alguien quitó cinco frutas de mi jardín.,Someone removed five fruits from my garden.
seis,1,¿Ahora cuesta seis dólares? ¡Qué caro!,It costs six dollars now? So expensive.
seis,2,Tengo el hábito de correr todas las mañanas a las seis.,I make it a habit to run every morning at 6 AM.
seis,3,Solo hay seis estudiantes en mi clase de álgebra.,There are only six students in my algebra class.
siete,1,Esa pandilla lleva el nombre de los siete pecados capitales.,That gang is named after the seven sins.
siete,2,¡Mi vestido solo costó siete dólares! Qué barato.,My dress only cost $7! So cheap.
siete,3,Hablemos de esto otra vez el siete de julio.,Let’s talk about this again on July 7.
ocho,1,Solo faltan ocho años luz para llegar a nuestro planeta.,Only eight more light years until we reach our home planet.
ocho,2,Los ocho caballos se escaparon anoche.,All eight horses escaped last night.
ocho,3,Necesito completar ocho páginas antes de poder entregar este ensayo.,I need to complete eight pages before I can turn in this essay.
nueve,1,Mi esposo y yo estaremos de vacaciones por nueve días.,My husband and I will be on vacation for nine days.
nueve,2,El total de nuestras compras fue exactamente nueve dólares.,The total for our groceries came out to exactly nine dollars.
nueve,3,No hay manera de que los nueve quepamos en ese carro.,There’s no way all nine of us will fit in that car.
diez,1,"Para llegar a la tienda, la gente debe subir una escalera de diez pisos.","To reach the store, people must climb a ten-story staircase."
diez,2,La próxima vez me aseguraré de comprar diez cajas.,I’ll make sure to buy ten boxes next time.
diez,3,¿Te quedaría un zapato número diez?,Would a size ten shoe fit you?
hola,1,¡Hola! Mucho gusto.,Hello! Nice to meet you.
hola,2,¿Me oyes? ¿Hola?,Can you hear me? Hello?
hola,3,¡Hola! ¡Cuánto tiempo sin verte!,Hello! It’s been a while!
adiós,1,¡Adiós! Nos vemos el próximo año.,Goodbye! I’ll see you next year.
adiós,2,Te veo mañana en el trabajo. Adiós.,I’ll see you at work tomorrow. Goodbye.
adiós,3,Ese es el final de la presentación. Adiós.,That is the end of the presentation. Goodbye.
gracias,1,Llevo todo el año pidiendo esto. ¡Gracias!,I’ve been asking for this all year. Thank you!
gracias,2,Gracias por detener ese tren antes de que me atropellara.,Thank you for stopping that train from hitting me.
gracias,3,"Ya es suficiente queso, gracias.","That’s enough cheese, thank you."
por favor,1,"Habla más bajo, por favor.",Please talk more quietly.
por favor,2,"Tres boletos, por favor.","Three tickets, please."
por favor,3,"¡Por favor, ayúdanos! Eres nuestra única esperanza.",Please help us! You’re our only hope.
perdón,1,"Perdón, ¿fuiste tú quien se echó un pedo?",Excuse me. Was that you who farted?
perdón,2,"Perdón, pero ¿por qué lo invitaron? Apesta.","Sorry, but why was he invited? He stinks."
perdón,3,"Después de perder la batalla, los soldados pidieron perdón.","After losing the battle, the soldiers asked for forgiveness."
bien,1,No dormí bien en la incómoda cabaña.,I did not sleep well in the uncomfortable cabin.
bien,2,Como bien después de nadar todo el día.,I eat well after swimming all day.
bien,3,La obra salió bien porque todos actuaron correctamente su papel.,The play went well because everyone acted out their part correctly.
mal,1,El restaurante cerró después de que a todos les quedó mal aliento por la comida.,The restaurant closed after everyone got bad breath from the food.
mal,2,El cantante del concierto bailaba mal.,The singer performing at the concert was bad at dancing.
mal,3,¿Está mal que no quisiera presentar el examen final?,Is it bad that I didn’t want to take the final test?
aquí,1,Tus llaves estuvieron aquí todo el tiempo.,Your keys were over here the whole time.
aquí,2,Huele muy mal aquí. ¿Podemos ir a otro lado?,It smells so bad here. Can we go somewhere else?
aquí,3,Viajar aquí fue la mejor idea que tuvieron mis padres.,Traveling here was the best idea my parents had.
ayuda,1,Pídele ayuda a la tortuga. Quizás sepa.,Ask the turtle for help. He might know.
